labels,count,top_state,state_count,first_day,last_day,#_days,year_50%,month_50%,diff_year,diff_month,latitude_mean,latitude_50%,diff_latitude,longitude_mean,longitude_50%,diff_longitude,brightness_mean,brightness_50%,brightness_std,diff_brightness,frp_mean,frp_50%,frp_std,diff_frp,nearest_aq_monitor,SITE_LATITUDE,SITE_LONGITUDE,geometry,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE
818,7,ID,1,2006-08-22,2006-09-05,15,2006,8,0.0,1.0,45.34477142857143,45.3518,0.07309999999999661,-116.51641428571428,-116.5146,0.0379999999999967,365.4428571428571,365.4,11.576968103790845,34.10000000000002,171.45714285714283,172.9,74.75029224341662,224.20000000000002,"(45.079864040123, -116.844808262337)",45.079864040123,-116.844808262337,POINT (-116.844808262337 45.079864040123),21.7,71
819,10,ID,1,2006-08-29,2006-08-30,1,2006,8,0.0,0.0,42.563230000000004,42.5617,0.03710000000000235,-112.75844,-112.76089999999999,0.034199999999998454,361.12,355.8,35.12345844778575,113.59999999999997,136.14999999999998,66.55,161.725935870946,521.8000000000001,"(42.876725, -112.460347)",42.876725,-112.460347,POINT (-112.460347 42.876725),6.9,29
829,8,ID,1,2006-09-03,2006-09-12,9,2006,9,0.0,0.0,46.41175,46.41215,0.01829999999999643,-114.63904999999998,-114.636,0.05089999999999861,373.1375000000001,367.45000000000005,21.52333866162165,64.5,153.4125,112.2,106.80982348481409,329.29999999999995,"(46.243621, -114.158889)",46.243621,-114.158889,POINT (-114.158889 46.243621),38.2,108
831,16,ID,1,2006-09-04,2006-09-05,2,2006,9,0.0,0.0,45.7314875,45.7314,0.03179999999999694,-115.19845,-115.2036,0.08480000000000132,338.98125000000005,338.0,14.266100553409816,45.799999999999955,82.2875,65.75,56.279574447573786,224.39999999999998,"(45.931274394, -116.116254548)",45.931274394,-116.116254548,POINT (-116.116254548 45.931274394),52.2,142
833,111,NV,1,2006-09-04,2006-09-08,4,2006,9,0.0,0.0,41.489571171171185,41.4937,0.21310000000000429,-116.39248648648648,-116.3932,0.34319999999999595,370.5207207207208,363.1,39.833316610635244,177.7,553.6450450450451,143.7,1200.9214972253399,6820.5,"(41.8924989934688, -115.427014818654)",41.8924989934688,-115.427014818654,POINT (-115.427014818654 41.8924989934688),17.2,62
835,9,ID,1,2006-09-04,2006-09-12,9,2006,9,0.0,0.0,46.06412222222222,46.0649,0.008900000000004127,-114.6570888888889,-114.6567,0.03719999999999857,361.52222222222224,362.7,15.57849300941668,51.5,121.86666666666666,121.6,64.21814385358705,193.3,"(46.243621, -114.158889)",46.243621,-114.158889,POINT (-114.158889 46.243621),38.2,108
836,7,NV,1,2006-09-04,2006-09-05,2,2006,9,0.0,0.0,41.61291428571428,41.6122,0.023299999999998988,-115.10748571428572,-115.1101,0.0759000000000043,385.9428571428571,378.7,27.890133090566714,65.80000000000001,433.0428571428571,308.6,323.795819703008,820.8000000000001,"(41.8924989934688, -115.427014818654)",41.8924989934688,-115.427014818654,POINT (-115.427014818654 41.8924989934688),10.8,45
837,942,CA,1,2006-09-04,2006-09-29,26,2006,9,0.0,0.0,34.61286560509552,34.6122,0.27239999999999753,-118.96651125265396,-118.9721,0.477099999999993,372.23556263269626,364.3,37.99123561677723,183.8,365.6799363057319,193.45,514.2666760571457,6020.599999999999,"(34.813034257, -118.884819458)",34.813034257,-118.884819458,POINT (-118.884819458 34.813034257),2.1,9
840,8,OR,1,2006-09-05,2006-09-05,1,2006,9,0.0,0.0,45.078637500000006,45.07745,0.017900000000004468,-117.0186125,-117.0185,0.02230000000000132,362.0625,362.25,32.526030784149306,87.39999999999998,207.6375,126.8,200.61074559953164,539.8,"(45.079864040123, -116.844808262337)",45.079864040123,-116.844808262337,POINT (-116.844808262337 45.079864040123),21.7,71
843,17,WA,1,2006-09-06,2006-09-08,2,2006,9,0.0,0.0,48.91283529411765,48.9095,0.04910000000000281,-120.27115294117648,-120.2658,0.06560000000000343,361.0529411764706,355.6,28.98156995503907,104.5,161.0,125.8,127.78073505031969,459.40000000000003,"(48.47724, -120.19057)",48.47724,-120.19057,POINT (-120.19057 48.47724),42.4,118
